Product_ID,Sale_Date_New,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Month,Year,Profit_Per_Unit,Total_Cost,Profit
1052,2023-03-02,Bob,North,5053.97,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob,3.0,2023.0,114.47000000000003,2749.5,2304.4700000000003
1093,,Bob,West,4384.02,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,West-Bob,,,393.0499999999997,64878.63,-60494.61
1015,,David,South,4631.23,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,South-David,,,109.83999999999997,7846.8,-3215.5700000000006
1072,,Bob,South,2167.94,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,South-Bob,,,137.72000000000025,168871.16999999998,-166703.22999999998
1061,,Charlie,East,3750.2,13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie,,,55.34000000000003,8285.81,-4535.61
1021,2023-11-02,Charlie,West,3761.15,32,Food,900.79,1106.51,New,0.21,Cash,Online,West-Charlie,11.0,2023.0,205.72000000000003,28825.28,-25064.129999999997
1083,2023-11-04,Bob,West,618.31,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,West-Bob,11.0,2023.0,215.2800000000002,69855.49,-69237.18000000001
1087,2023-06-01,Eve,South,7698.92,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,South-Eve,6.0,2023.0,262.1399999999999,170315.46000000002,-162616.54
1075,,David,South,4223.39,30,Furniture,738.06,1095.45,New,0.05,Bank Transfer,Online,South-David,,,357.3900000000001,22141.8,-17918.41
1075,2023-09-10,Charlie,West,8239.58,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,West-Charlie,9.0,2023.0,453.99000000000024,40110.299999999996,-31870.719999999994
1088,,Eve,North,8518.45,13,Furniture,2440.11,2517.6,New,0.23,Bank Transfer,Retail,North-Eve,,,77.48999999999978,31721.43,-23202.98
